realPGA,Predicted PGA,"realPGA
 地震等級","Predicted PGA 
地震等級",等級差異,,
7.6608,30.4626255,2,4,-2,,
13.167,24.73846245,3,3,0,,
8.6184,21.87573051,3,3,0,,
8.1396,23.16111946,3,3,0,,
7.4214,19.48938942,2,3,-1,,
8.379,20.14325142,3,3,0,,
12.209,20.69883919,3,3,0,,
6.9426,18.56734276,2,3,-1,,
7.4214,24.31905174,2,3,-1,,
10.294,33.12285233,3,4,-1,,
7.6608,20.46356773,2,3,-1,,
8.6184,21.30594063,3,3,0,,
10.534,21.12020302,3,3,0,,
8.1396,18.12846184,3,3,0,,
7.182,20.92049599,2,3,-1,,
62.962,111.9586563,4,5,-1,,
8.1396,30.29867363,3,4,-1,,
7.9002,19.78544426,2,3,-1,,
11.491,25.93430901,3,4,-1,,
16.997,27.65519905,3,4,-1,,
17.237,34.11825943,3,4,-1,,
16.758,26.61614418,3,4,-1,,
7.4214,25.01431084,2,4,-2,,
26.813,26.7561245,4,4,0,,
19.152,37.50410461,3,4,-1,,
6.7032,31.48543358,2,4,-2,,
7.182,23.25127602,2,3,-1,,
204.45,27.37181664,5,4,1,,
11.491,22.31652641,3,3,0,,
8.1396,37.65304184,3,4,-1,,
9.3366,23.33657646,3,3,0,,
9.3366,21.56862831,3,3,0,,
11.491,23.04141998,3,3,0,,
7.9002,22.37014961,2,3,-1,,
16.279,18.92754555,3,3,0,,
24.898,41.91316986,3,4,-1,,
23.94,35.11400986,3,4,-1,,
9.576,21.38503456,3,3,0,,
8.1396,22.9072628,3,3,0,,
9.576,29.85952568,3,4,-1,,
21.307,27.81701851,3,4,-1,,
8.379,21.45106316,3,3,0,,
8.6184,20.21211433,3,3,0,,
63.68,22.27901649,4,3,1,,
40.219,24.57763863,4,3,1,,
9.576,28.00029945,3,4,-1,,
13.646,28.03314018,3,4,-1,,
20.349,66.24150848,3,4,-1,,
8.1396,26.92260551,3,4,-1,,
204.45,100.3158112,5,5,0,,
13.646,21.89150429,3,3,0,,
7.182,29.02302361,2,4,-2,,
46.922,96.39937592,4,5,-1,,
7.6608,19.45333672,2,3,-1,,
15.322,29.12644386,3,4,-1,,
9.576,23.66629982,3,3,0,,
8.6184,27.88716316,3,4,-1,,
14.603,50.87005234,3,4,-1,,
8.379,25.88450432,3,4,-1,,
55.78,92.72952271,4,5,-1,,
116.83,44.01408768,5,4,1,,
6.4638,23.5010128,2,3,-1,,
11.491,25.32515526,3,4,-1,,
13.167,32.62506104,3,4,-1,,
28.249,21.12624168,4,3,1,,
11.012,31.57459831,3,4,-1,,
9.0972,31.27258492,3,4,-1,,
6.4638,24.40885735,2,3,-1,,
16.997,26.38962746,3,4,-1,,
19.631,67.35157013,3,4,-1,,
83.311,81.70871735,5,5,0,,
8.1396,32.0857048,3,4,-1,,
10.055,36.77866745,3,4,-1,,
7.6608,21.96993446,2,3,-1,,
10.534,25.86821175,3,4,-1,,
7.4214,27.1853466,2,4,-2,,
15.561,43.71096802,3,4,-1,,
9.576,26.02192497,3,4,-1,,
7.6608,19.63712883,2,3,-1,,
9.0972,31.7202549,3,4,-1,,
9.3366,39.74057007,3,4,-1,,
11.491,17.85585213,3,3,0,,
8.8578,19.70528603,3,3,0,,
7.6608,25.28437996,2,4,-2,,
90.972,50.04838562,5,4,1,,
7.6608,31.77239799,2,4,-2,,
9.0972,18.16474724,3,3,0,,
32.798,27.35624886,4,4,0,,
11.012,32.8748436,3,4,-1,,
26.334,20.84216118,4,3,1,,
16.519,21.67308235,3,3,0,,
8.379,18.90030098,3,3,0,,
9.0972,22.41150093,3,3,0,,
8.1396,20.30832863,3,3,0,,
10.534,21.28346825,3,3,0,,
84.029,174.9030304,5,5,0,,
9.576,24.17502403,3,3,0,,
22.025,14.68253517,3,3,0,,
6.7032,29.96106529,2,4,-2,,
13.646,29.29957771,3,4,-1,,
14.364,27.03019142,3,4,-1,,
8.6184,24.71461296,3,3,0,,
7.6608,26.75833702,2,4,-2,,
20.349,29.39923286,3,4,-1,,
18.194,27.41592598,3,4,-1,,
9.0972,23.1841526,3,3,0,,
13.646,19.99215126,3,3,0,,
9.0972,23.84849739,3,3,0,,
7.4214,17.50962639,2,3,-1,,
6.9426,22.22633171,2,3,-1,,
8.379,27.71078682,3,4,-1,,
7.182,28.48430824,2,4,-2,,
27.052,29.04462433,4,4,0,,
10.534,31.64916801,3,4,-1,,
382.8,42.42172241,6,4,2,,
12.688,39.4397316,3,4,-1,,
9.8154,22.50487709,3,3,0,,
8.379,20.84531212,3,3,0,,
9.576,22.92578697,3,3,0,,
25.616,28.82417488,4,4,0,,
18.913,36.21548843,3,4,-1,,
7.6608,21.12328529,2,3,-1,,
84.748,28.06469727,5,4,1,,
9.576,22.18763161,3,3,0,,
10.534,24.97606468,3,3,0,,
13.167,24.27668571,3,3,0,,
7.9002,21.41277504,2,3,-1,,
7.9002,28.60164833,2,4,-2,,
22.982,34.36660385,3,4,-1,,
75.411,53.27683258,4,4,0,,
58.174,35.90974426,4,4,0,,
7.9002,20.90250969,2,3,-1,,
16.758,55.6955986,3,4,-1,,
20.828,20.7383976,3,3,0,,
6.9426,32.08413315,2,4,-2,,
8.379,22.03152657,3,3,0,,
25.616,30.92215919,4,4,0,,
25.616,25.2032795,4,4,0,,
82.354,41.11874008,5,4,1,,
8.1396,23.77311897,3,3,0,,
19.631,53.66268539,3,4,-1,,
6.4638,18.16955757,2,3,-1,,
