realY,Predicted PGA
77.326,62.54133606
10.534,12.23306847
8.379,11.34538269
9.8154,10.91356754
8.379,11.01357651
10.294,12.27183151
7.9002,11.65799713
14.125,15.23033333
20.11,13.01609993
10.294,13.6712532
11.731,13.41319275
7.9002,11.51108551
8.1396,11.71196747
11.012,12.90107346
8.1396,11.24732494
9.3366,10.42899227
8.8578,12.41551304
5.985,11.76514244
9.0972,11.88286304
10.534,10.58323097
11.97,11.13331032
13.646,11.62842846
9.576,12.21130371
8.379,12.18800735
19.152,10.88600922
7.4214,12.71739578
8.379,22.81279755
63.68,59.13751221
41.656,12.72581387
9.576,12.82107162
11.012,11.36162186
7.9002,11.21662426
11.252,11.34196663
10.055,14.2220602
12.209,12.53447056
7.6608,11.05255985
8.379,11.58457947
10.773,12.09485435
12.928,10.76530075
51.71,12.8774662
40.459,21.00104904
9.576,10.70616722
15.322,12.25972939
34.234,36.90046692
7.182,10.33248711
6.7032,10.95815563
9.576,11.76607132
9.3366,12.30156326
11.731,10.88431549
6.9426,11.44252872
9.0972,12.60692692
7.182,11.88693047
8.379,11.91609097
9.3366,11.99683857
9.576,10.62831497
13.406,14.33858109
11.731,11.29913616
9.3366,14.77733994
8.8578,11.29189301
7.4214,14.68169022
68.468,41.36837006
9.576,11.89476204
26.334,24.96974373
8.1396,11.26216125
6.4638,10.65119743
7.4214,12.30299473
8.1396,12.02293015
9.8154,19.49150085
47.401,11.6879673
9.8154,10.4645443
55.301,26.05867767
88.339,15.94066525
23.222,11.64185429
6.9426,10.4095211
12.209,13.92255592
10.055,11.21651649
6.7032,10.90904617
10.534,11.94263935
7.182,11.39503384
13.167,12.89957523
15.082,10.9228878
24.419,13.77236271
56.02,37.77959824
30.643,21.20438957
14.364,12.94103909
9.576,12.1864748
9.0972,15.28451061
7.182,10.94454575
8.6184,11.01924706
7.6608,11.310009
6.7032,12.46920013
59.611,33.5381546
17.237,11.96831989
6.4638,17.71631432
9.3366,11.59656143
6.7032,11.57246494
8.6184,10.34871101
7.182,11.26522636
42.853,13.58262062
11.252,10.32465172
7.6608,11.0388937
7.9002,12.05831051
7.182,12.40380478
6.4638,11.62381363
14.364,12.26495743
9.0972,12.65408993
20.11,11.44313812
89.296,19.49114227
18.913,11.61000252
8.379,13.07313538
10.294,12.74444199
117.07,23.37795639
9.3366,11.57829666
7.4214,10.4554348
8.379,13.50045204
