realPGA,Predicted PGA
14.125,15.27791786
71.581,132.5714264
22.982,22.48975182
44.528,64.34224701
12.928,14.87221241
24.658,39.40235901
7.182,16.33197021
9.576,16.83967018
11.252,16.78087234
47.88,14.90963364
17.716,15.04244804
11.97,18.02750778
8.8578,13.15171528
8.6184,19.37548447
8.1396,15.955369
10.534,13.85669708
7.182,15.03997993
10.294,13.81138134
11.491,15.14051151
10.055,15.416255
10.055,18.23695183
7.4214,13.96658516
7.4214,17.72472763
13.406,19.09579659
16.758,22.5928936
9.3366,16.94029617
9.8154,14.88455677
18.194,15.48665142
23.94,15.42454052
44.528,14.53421497
22.982,12.79580402
11.97,16.08616066
40.698,37.72076797
16.758,30.62280655
157.29,147.6257782
88.099,107.8680954
37.346,17.74584961
10.534,14.71724033
8.6184,15.27231503
18.673,15.21728325
7.182,13.92902756
12.209,17.68801117
10.773,13.8039856
8.6184,15.00787067
8.6184,13.54505348
9.0972,17.50848389
8.8578,14.50361347
19.87,20.16997719
10.534,18.80982399
10.534,23.04128647
10.294,17.73726654
7.9002,17.84996605
9.3366,16.35329437
7.182,14.91279316
11.012,14.02513695
16.279,13.9851923
17.955,26.94190598
49.316,32.18482971
14.603,13.31062889
8.1396,12.00356388
13.646,15.65141869
11.012,22.32817078
8.379,14.70832729
7.6608,19.72193336
21.307,14.33602619
11.252,21.14993668
32.319,31.04400063
9.3366,14.79737759
9.576,20.94960785
18.194,13.73821163
10.534,13.62772846
7.4214,14.85837173
13.406,15.92909527
7.6608,12.73004055
15.561,14.26371098
12.449,13.88787842
7.9002,16.04549026
7.9002,18.74048996
9.576,19.16976738
7.4214,19.62049866
31.361,23.0632019
9.0972,19.39681625
55.541,55.32533646
7.9002,14.61787128
8.379,14.89536285
8.1396,14.39750195
11.97,19.49622536
26.095,27.47253418
7.4214,15.92881012
33.277,34.43466568
12.209,19.8520813
10.055,13.8999567
10.773,15.3039856
56.738,63.13316345
40.459,35.96599579
11.012,16.70214081
8.1396,18.04964066
20.588,15.70587444
52.429,40.73294449
56.977,97.74636078
10.534,12.20089245
8.1396,19.8884964
15.082,27.65897751
6.9426,13.16099167
42.134,24.05947876
15.8,15.73339462
13.167,22.13311195
13.646,16.21100998
7.4214,13.41622257
7.182,15.6231451
8.6184,14.13216877
12.209,19.76959991
29.207,27.0471344
9.8154,16.16922951
7.6608,12.25682831
33.277,14.66489124
8.6184,16.50929642
12.928,25.67458153
12.928,13.93994427
18.673,16.20312119
54.823,98.79253387
7.9002,15.2755022
17.476,21.06457901
35.431,46.04922104
11.252,14.66015625
62.244,17.46290207
24.179,18.05509186
7.6608,28.3873291
18.673,17.92474365
7.4214,13.94551182
6.9426,17.74184227
7.4214,12.43507004
17.955,32.90081406
99.112,124.7617416
14.364,15.71564198
24.179,17.67507172
6.9426,14.65657234
9.0972,15.53575134
9.0972,14.99288082
23.222,22.96233177
9.0972,14.64683437
7.4214,13.20858288
23.461,25.05364037
22.982,21.57476044
7.6608,18.41208267
43.81,16.10776901
6.2244,18.30332947
7.4214,12.15917778
93.127,16.61723709
13.646,15.4651804
23.222,16.31127548
9.8154,21.5820446
10.294,13.23966312
16.758,14.77828312
7.182,17.01648903
22.025,19.77861786
8.1396,11.84377575
84.748,97.55213165
12.688,21.52735901
15.322,24.37507248
8.6184,15.18507957
23.94,40.54554367
22.264,14.02406693
10.534,28.29253769
26.095,15.57275105
10.773,14.13981438
6.2244,16.59428596
22.743,47.24858093
16.758,13.61038685
8.379,14.01819134
14.843,26.63406372
6.7032,17.27579498
52.429,61.27942276
7.4214,13.40693855
8.6184,15.98296452
9.0972,17.09752274
11.252,17.13215065
9.3366,13.65307713
10.294,18.70390511
26.813,21.19463539
80.199,13.3223753
6.7032,13.91036415
16.04,22.68320274
17.716,13.48946476
7.182,13.19614124
9.576,18.16927528
9.3366,14.88377571
158.24,13.22874737
19.87,16.97935867
8.6184,20.20070076
8.6184,18.22382736
47.88,32.56417465
11.491,25.19836044
7.6608,15.19059658
11.97,18.36520576
7.9002,15.37874603
21.307,16.91448212
14.125,14.96558189
53.147,31.27295303
29.925,26.82168198
16.997,40.06318283
9.576,12.77706146
7.182,12.88571835
24.419,20.690979
66.314,34.04118347
81.875,77.34883881
11.491,11.26908302
44.768,73.56049347
9.0972,18.08509445
12.928,15.77354717
35.671,45.82546997
7.6608,15.76382828
9.3366,17.63646317
7.4214,14.21577835
7.9002,16.79655457
27.052,24.5251503
11.012,19.12195015
7.4214,16.2444191
31.84,20.59083557
26.813,18.46501541
6.9426,18.99791908
10.534,16.31699562
9.3366,12.52797318
8.8578,14.97311974
11.731,13.84187889
10.294,16.5015049
9.3366,14.66181087
8.379,14.70937443
6.9426,20.77126884
43.571,19.47240448
48.359,21.49961281
6.4638,17.09988594
10.055,14.7645359
10.055,14.50057411
7.4214,13.97502899
15.322,29.64746857
9.3366,15.76933479
18.194,15.72753525
8.8578,16.94620895
14.603,22.16977692
9.8154,17.43018341
9.8154,13.79592037
9.3366,16.53673172
6.9426,16.0391922
16.758,15.13355923
10.055,17.41460228
8.1396,15.91490078
11.731,20.92699814
22.982,15.87673569
9.576,19.54088211
10.294,14.19318676
11.252,15.99470425
17.716,16.97930527
12.928,13.43964958
14.603,16.18027878
10.055,16.73728752
54.104,45.44998169
7.9002,19.15102005
57.695,27.83903885
7.6608,20.97070503
7.182,14.69337559
9.0972,14.15636921
9.3366,15.34395885
14.125,17.46939468
7.6608,14.05325413
8.379,17.30558395
7.9002,15.436553
7.4214,13.75361538
6.2244,14.26595306
31.601,34.45380402
9.8154,14.44542408
189.13,19.52128792
7.4214,14.99254322
8.6184,22.2752285
15.082,15.15229702
17.716,24.98116684
7.4214,18.29816246
8.379,21.06755829
9.8154,18.74628448
20.349,18.8975029
9.0972,18.39851379
26.334,39.75388718
11.491,13.89143276
8.1396,14.39764118
14.364,15.15859604
7.6608,15.77612305
7.9002,16.66697884
7.182,14.86881256
9.0972,16.24848938
16.758,12.09503365
45.486,18.42380142
19.87,15.77032185
9.576,14.41650963
12.209,35.17411041
9.576,20.24379539
23.701,33.41202927
11.491,18.79606247
57.935,26.5770874
12.688,17.17156792
9.3366,14.73217392
7.4214,16.99323845
8.1396,17.14374542
24.898,18.63731384
9.8154,13.45329952
75.65,18.05111313
27.292,15.43192482
9.576,16.07811165
11.491,14.54746819
10.055,13.97273827
12.928,14.64204693
31.84,72.66323853
15.322,14.82972908
10.294,14.93477726
10.055,16.7585144
8.1396,17.08529282
16.04,17.19611549
13.406,18.90376282
20.828,15.27493572
15.8,17.98192787
7.182,17.22076416
13.406,14.29265594
11.012,18.02706909
11.012,17.1831665
9.3366,20.74893951
13.406,15.32509041
11.252,25.16929054
14.364,12.5007143
6.4638,16.07862854
11.731,16.07242012
12.209,14.15286732
46.922,49.04848862
15.322,14.12351131
33.516,38.12345886
16.997,35.82935333
10.534,16.01534271
9.3366,14.6494875
14.364,21.44836426
7.9002,13.49223614
8.8578,14.32165718
51.95,36.91015244
77.805,15.45246315
6.4638,15.6315794
7.4214,14.76676655
24.419,15.76731777
11.491,12.58347225
20.11,30.29414368
8.1396,14.00021076
11.731,14.60417557
6.4638,16.43009949
10.773,18.41831398
7.9002,14.51288891
11.012,15.93923855
19.631,20.26480103
11.012,14.02566147
8.6184,18.34217072
8.6184,15.82761288
11.491,16.80999184
9.576,13.11026669
6.9426,14.26050568
6.7032,15.65219784
33.277,50.15943909
7.6608,18.95446014
7.6608,17.39130783
11.012,18.95155716
58.414,25.92871284
10.773,15.59214115
11.731,17.14247322
10.055,20.04530334
8.1396,16.27232361
19.87,23.19200134
11.252,12.90573215
5.985,17.50808525
8.6184,15.93017578
8.379,15.87903118
6.9426,14.32285213
8.6184,13.89171886
6.7032,13.4950695
16.997,15.76072216
10.055,15.37889099
11.252,19.8264122
81.635,84.75243378
8.6184,13.13351822
14.843,16.15664482
10.773,20.54908752
8.8578,12.53763676
12.449,14.71331024
10.294,15.12117481
39.74,68.4729538
24.179,31.00815964
47.162,68.76711273
15.082,26.66363144
14.364,13.96025658
16.997,14.19144535
6.9426,16.86636734
7.9002,13.6510849
11.731,15.71757507
14.125,19.00080872
6.9426,17.10540962
9.576,15.78729534
9.0972,15.53799534
8.1396,13.2530756
7.6608,15.74161243
11.491,16.66460419
8.6184,13.3255291
90.014,23.64768982
16.279,17.0192318
13.885,18.12211037
11.731,22.7682457
18.194,16.4484787
18.434,12.40804863
9.0972,17.6092205
8.6184,11.54956722
7.4214,14.77853012
7.4214,14.25936508
11.012,15.18319225
8.379,22.40914726
8.1396,14.18737507
24.179,18.03734589
10.534,22.52187729
7.6608,13.76105213
8.1396,18.73351097
33.755,25.15541458
6.4638,14.55561066
16.519,14.52986908
29.446,19.25186348
15.322,16.87199211
8.379,23.04058647
31.361,19.75842285
8.1396,17.37568855
11.252,14.09022045
7.9002,20.17738342
6.4638,12.74699402
16.519,17.8361969
7.4214,15.89488792
31.84,13.69714165
11.97,17.26146126
14.364,18.57167435
7.6608,14.50185299
7.182,14.12326336
9.3366,13.69123268
21.307,13.61410141
8.379,15.05731964
6.7032,14.21107292
9.3366,15.85203838
11.252,17.50758362
30.164,16.4198761
9.0972,15.78551483
10.294,12.75205803
100.79,118.5147552
7.9002,16.98539925
12.449,13.19969368
7.182,17.1056118
6.4638,16.68695641
35.671,21.81200981
28.728,14.8099947
6.7032,14.47544098
8.379,19.5847168
7.4214,14.83085251
7.4214,19.38631439
68.947,44.92239761
6.9426,13.1740799
10.055,22.17421532
14.603,15.38252163
9.8154,14.63257122
133.11,124.3557053
9.576,14.74744415
10.773,19.92658615
11.491,12.93408108
9.576,14.92366886
9.576,15.62384701
22.982,43.14287949
6.9426,13.06703186
7.4214,16.08675385
11.491,14.07726574
20.588,31.64263916
19.631,14.43581104
45.725,14.26168156
17.476,20.53910446
11.97,15.24565887
16.519,13.99388123
45.725,17.09906769
8.1396,14.16990089
24.419,14.84706593
14.603,23.92092896
7.4214,12.6783247
19.87,18.00061035
36.389,26.51081085
9.0972,22.92186737
12.928,15.87976456
83.79,77.93867493
18.673,21.6605072
17.476,26.45405006
30.643,15.21362782
10.055,15.71047401
10.773,13.73457336
14.125,16.33872223
7.182,16.9728508
108.93,46.93059158
12.928,21.29252625
7.6608,13.66743279
93.127,39.28534698
7.182,12.70725632
20.349,22.08124161
7.9002,15.31217861
21.785,17.03269577
7.9002,14.58139706
17.716,26.32985878
10.055,20.31062317
7.4214,13.38708782
17.237,20.25574684
11.252,17.69419479
11.731,14.49350548
10.055,13.00448418
7.6608,13.34178257
8.8578,25.42524338
33.516,18.27690125
7.9002,22.34421158
7.9002,14.59000969
8.8578,15.23849106
11.012,16.48717117
8.1396,13.86624336
6.7032,14.69737911
17.476,15.43387413
7.6608,15.21060467
12.688,19.42001534
9.8154,13.14847565
55.541,40.7299118
8.379,12.74163055
22.025,20.10512924
9.8154,17.47505188
7.4214,18.68142319
12.209,14.4452877
11.491,17.08785248
7.4214,13.08555603
8.6184,13.02285576
11.97,23.18109894
29.686,63.9359169
8.8578,13.8891592
7.4214,13.55463505
9.8154,21.81049919
16.997,16.1446228
7.9002,16.57678413
6.9426,15.29552078
12.449,19.78442955
7.4214,15.53785229
8.1396,17.82072067
7.182,11.80276966
11.97,17.21215439
7.182,15.41173077
11.491,21.4952774
13.885,16.94924164
8.1396,16.95353127
8.1396,14.90669537
12.209,20.91532898
8.8578,14.03225708
6.7032,13.92893505
6.7032,14.77265072
9.3366,14.22107124
20.11,15.1026125
7.6608,18.02660179
8.8578,14.67697239
8.379,13.68037605
10.773,15.53597736
35.431,27.79214859
12.449,25.27211761
12.928,19.30557823
47.162,35.84766769
7.4214,16.30927658
38.543,36.31028366
14.125,15.24660206
19.87,40.6979599
11.731,13.20110798
6.7032,16.06672859
9.8154,16.72467041
8.6184,14.4667654
96.478,20.78677368
8.6184,21.72850418
11.97,15.13069248
7.182,13.41344357
8.379,15.45888138
7.4214,13.85660362
7.6608,15.22346401
11.97,16.64892578
7.4214,18.81026649
7.182,14.77617931
10.773,12.94099617
6.9426,13.96220493
10.055,15.26837635
9.8154,16.39683914
8.1396,21.8039093
15.8,19.25799942
27.77,15.29482651
9.8154,13.38059711
10.773,14.04759216
18.673,16.68992615
8.1396,13.87740993
8.8578,15.38409805
26.095,16.05986786
6.7032,12.55212212
42.134,11.47662449
45.247,20.83089828
39.74,41.78096008
7.4214,16.23415375
152.98,36.54463577
10.294,18.38801575
14.364,17.02209663
8.6184,15.7444582
10.534,16.01883888
9.8154,16.0844841
48.598,14.01046848
6.7032,14.37676525
7.9002,14.60666847
17.476,24.26321411
6.9426,14.82852364
7.9002,14.23504639
8.6184,12.6291647
7.4214,15.41063023
6.7032,16.2245636
8.1396,11.59123707
15.322,13.35066414
7.4214,13.19734859
122.57,141.8730774
12.688,15.48946857
8.1396,16.56729507
34.474,15.31826878
11.731,13.60985184
10.773,12.58035755
60.568,31.53953171
18.913,18.79659462
14.843,15.69720936
8.8578,17.13372993
12.688,17.62002563
8.379,23.49736214
6.7032,18.11458969
50.513,13.3334589
7.9002,14.02070236
11.252,26.65636444
7.4214,14.06788826
6.9426,15.12313747
20.828,24.63848686
18.194,14.96201324
18.194,20.3696022
14.843,19.47631454
6.9426,14.00596333
14.364,18.12028313
7.6608,24.82538795
28.967,25.8696022
16.519,23.19522095
64.399,14.60331154
18.194,15.53757381
14.364,14.72019291
6.9426,19.85410309
7.6608,16.10682487
8.379,15.57301617
11.252,13.93595505
16.758,15.06209087
8.1396,15.86198139
11.97,14.19914436
13.406,15.32116222
20.349,24.41278839
7.6608,14.46291924
8.379,15.9546423
18.913,16.72237396
9.0972,14.21922874
13.646,19.02477646
10.055,14.08599186
11.012,13.94478226
21.785,36.23588181
8.379,16.88888168
191.52,113.3238373
11.012,21.23464584
8.379,15.9542799
12.449,14.68467808
7.6608,17.7673912
10.294,16.22140312
7.4214,13.61343575
32.798,26.64948845
10.055,24.13134956
7.4214,15.71603394
7.6608,13.4955349
7.182,14.07162285
52.668,29.21705055
6.9426,13.46964836
8.8578,15.78759766
32.558,21.19534683
8.6184,15.08797741
8.1396,14.66940784
11.731,16.53241158
9.576,16.36663055
7.4214,16.93686295
7.4214,15.42116833
17.476,17.79353714
6.7032,14.29703712
7.9002,13.77013683
8.8578,14.94445515
8.8578,12.47354317
7.6608,17.04171562
17.716,15.97449684
10.294,14.07483959
12.209,44.29366302
7.6608,19.04664993
24.179,54.29759216
11.731,15.45570278
12.688,16.54407883
12.209,21.80928421
88.099,55.56956863
8.6184,16.6053524
10.773,19.38770866
17.955,16.6104126
9.0972,21.77807236
24.179,24.25370979
11.252,29.95078659
42.613,50.58264542
8.6184,24.54196548
8.1396,12.77458096
8.1396,15.52130413
18.194,17.25446892
10.773,20.11681747
20.11,49.86967087
30.404,18.54756165
7.9002,15.69652843
45.007,15.12335968
10.055,18.8057785
11.491,12.65007305
17.476,14.37228107
11.97,14.3927269
7.4214,16.33316994
10.055,12.95371628
11.97,19.05272675
14.125,15.72879219
10.773,19.03753662
8.1396,16.15734673
9.3366,15.09190178
17.476,15.66469097
22.264,18.94881248
52.668,99.7913208
28.967,43.86323166
6.7032,16.51714325
10.294,14.63580799
19.391,20.15269089
7.4214,16.86032867
8.8578,16.24102974
12.688,14.36850166
8.6184,15.03092861
7.6608,19.34144974
8.8578,15.63835621
9.576,21.41687393
9.3366,15.47652912
13.646,14.52986622
11.012,14.96300125
8.1396,14.51638794
7.182,15.22009754
8.1396,12.85616589
